AuthorID;First Name;Last Name;Birthday;Country of Residence;
AS443;Abraham;Stackhouse;7/1/47;Norway
AW980;Amelia;Wangerin;3/26/41;New Zealand
AI923;Anastasia;Inez;3/30/48;New Zealand
AM329;Arthur;McCrumb;3/13/48;New Zealand
AH957;Arturo;Hijuelos;1/9/29;United Kingdom
BH149;Bernard;Hopf;11/27/22;United States
BT132;Bianca;Thompson;1/28/50;United States
BL857;Bravig;Lewisohn;1/21/38;United States
BM856;Burton;Malamud;1/18/45;Brazil
CS190;Carolyn;Segal;9/24/33;United States
CF829;Charles;Fenimore;3/18/20;Norway
CW626;Clifford;Wolitzer;8/1/43;United Kingdom
DF413;Darryl;Fleischman;12/7/31;Germany
DB605;David;Beam;2/26/57;United States
EH487;Elizabeth;Herbach;1/22/57;New Zealand
EK605;Elmer;Komroff;7/11/29;Norway
GG800;Gloria;Green;9/19/56;Hong Kong
GH671;Grace;Harrison;4/8/61;United States
HM751;Hamlin;Myrer;1/29/25;Brazil
HB302;Hillary;Barnhardt;3/7/54;New Zealand
JH502;Jill;Hergesheimer;6/15/56;Canada
JS525;John W.;Spanogle;8/10/49;United Kingdom
JK592;Jonathan;Kotzwinkle;2/3/51;Germany
KY296;Kathy;Yglesias;4/3/51;Brazil
KD840;Kenneth;Douglas;9/24/63;South Africa
KE397;Kris;Elegant;8/26/49;Hong Kong
LL585;Langston;Lippman;10/2/47;New Zealand
LN356;Leonard;Nabokov;9/29/69;United States
LK915;Lori;Kaan;3/27/47;China
LD375;Lynne;Danticat;8/19/55;New Zealand
MW974;Malin;Wolff;1/31/41;Hong Kong
OL640;Oliver;Lowry;8/29/55;Netherlands
PH273;Patricia;Hazzard;4/27/46;Singapore
PA878;Philip;Antrim;4/22/48;Netherlands
PB147;Phoebe;Brown;8/21/49;Hong Kong
RL217;R.M.;Larner;3/26/30;China
RM781;Robert;Milofsky;1/12/57;United States
RP438;Robert;Plimpton;11/11/60;Canada
UK129;Ursula;Karénine;2/25/56;United Kingdom
WH901;Ward;Haigh;10/7/53;Brazil
WB149;Wendell;Barton;10/25/38;United States
